,Organization Name,NY Reg #,EIN,Registrant Type,City,State
0,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
1,"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
2,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
3,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
4,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
5,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
6,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
7,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
8,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
9,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
10,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
11,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
12,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
13,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
14,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
15,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
16,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
17,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
18,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
19,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
20,100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
21,"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
22,100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
23,"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,ATLANTA,GA
24,100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
25,"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
26,1026 Foundation Corporation (The),46-42-92,823378707,NFP,SPRINGFIELD GARDENS,NY
27,1035 BROADWAY HOUSING DEVELOPMENT FUND COMPANY INC,05-75-26,133870736,NFP,MT. KISCO,NY
28,1039 Boston Road Housing Development Fund Corporation,44-52-75,470904138,NFP,NEW YORK,NY
29,"103rd Precinct Community Council, Inc.",41-40-17,205484666,NFP,JAMAICA,NY
30,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
31,"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
32,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
33,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
34,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
35,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
36,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
37,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
38,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
39,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
40,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
41,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
42,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
43,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
44,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
45,BOYS & GIRLS CLUB OF THE NORTHTOWNS FOUNDATION INC,01-23-16,160844107,NFP,BUFFALO,NY
46,BRAND FOUNDATION OF NEW YORK INC,00-12-93,136159106,NFP,NEW YORK,NY
47,BROOKLYN CHIEFS INC.,21-07-22,861057788,NFP,BROOKLYN,NY
48,BROOKLYN GYNECOLOGICAL SOCIETY INC,05-02-76,011202369,NFP,BROOKLYN,NY
49,Charleens Stroke Care Fund,44-46-89,383802497,NFP,LACKAWANNA,NY
50,"Crenulated Company, Ltd.",04-38-38,141719016,NFP,NEW YORK,NY
51,"DAHNTAY JONES FOUNDATION, INC.",21-36-31,203554521,NFP,FLORENCE,NJ
52,DE CHARITABLE FOUNDATION,40-26-45,208094990,NFP,BROOKLYN,NY
53,EFREIN FOUNDATION INC,01-24-27,116017909,NFP,FAIRFAX,VA
54,Elija School,40-33-27,205296438,NFP,LEVITTOWN,NY
55,EVERGREEN FOUNDATION,05-43-23,161472048,NFP,BUFFALO,NY
56,"Family and Life Center of Mt. Ararat, Inc.",43-12-15,582441703,NFP,BROOKLYN,NY
57,Family Annex,06-10-35,133083081,NFP,NEW YORK,NY
58,"Fesabeelillah Services of NYC, Inc.",43-20-89,453736091,NFP,BROOKLYN,NY
59,"For The Win, Inc.",45-46-69,473875560,NFP,GREENVILLE,SC
60,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
61,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
62,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
63,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
64,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
65,100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
66,"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
67,100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
68,"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,ATLANTA,GA
69,100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
70,"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
71,1026 Foundation Corporation (The),46-42-92,823378707,NFP,SPRINGFIELD GARDENS,NY
72,1035 BROADWAY HOUSING DEVELOPMENT FUND COMPANY INC,05-75-26,133870736,NFP,MT. KISCO,NY
73,1039 Boston Road Housing Development Fund Corporation,44-52-75,470904138,NFP,NEW YORK,NY
74,"103rd Precinct Community Council, Inc.",41-40-17,205484666,NFP,JAMAICA,NY
75,BOYS & GIRLS CLUB OF THE NORTHTOWNS FOUNDATION INC,01-23-16,160844107,NFP,BUFFALO,NY
76,BRAND FOUNDATION OF NEW YORK INC,00-12-93,136159106,NFP,NEW YORK,NY
77,BROOKLYN CHIEFS INC.,21-07-22,861057788,NFP,BROOKLYN,NY
78,BROOKLYN GYNECOLOGICAL SOCIETY INC,05-02-76,011202369,NFP,BROOKLYN,NY
79,Charleens Stroke Care Fund,44-46-89,383802497,NFP,LACKAWANNA,NY
80,"Crenulated Company, Ltd.",04-38-38,141719016,NFP,NEW YORK,NY
81,"DAHNTAY JONES FOUNDATION, INC.",21-36-31,203554521,NFP,FLORENCE,NJ
82,DE CHARITABLE FOUNDATION,40-26-45,208094990,NFP,BROOKLYN,NY
83,EFREIN FOUNDATION INC,01-24-27,116017909,NFP,FAIRFAX,VA
84,Elija School,40-33-27,205296438,NFP,LEVITTOWN,NY
85,EVERGREEN FOUNDATION,05-43-23,161472048,NFP,BUFFALO,NY
86,"Family and Life Center of Mt. Ararat, Inc.",43-12-15,582441703,NFP,BROOKLYN,NY
87,Family Annex,06-10-35,133083081,NFP,NEW YORK,NY
88,"Fesabeelillah Services of NYC, Inc.",43-20-89,453736091,NFP,BROOKLYN,NY
89,"For The Win, Inc.",45-46-69,473875560,NFP,GREENVILLE,SC
90,Freedom Fund,44-63-63,300805758,NFP,BROOKLYN,NY
91,GERRY HOMES,21-21-45,160755780,NFP,GERRY,NY
92,"Gideon and Claudia Oberweger Family Foundation, Inc.",40-39-03,205916926,NFP,NEW YORK,NY
93,"GLEN CONSERVANCY, LTD",21-21-60,710883483,NFP,FULTONVILLE,NY
94,"Harris, George D. Jr. Trust under Article 8 of Will",49-18-62,266660787,CRT,NO DATA AVAILABLE,
95,Heritage Foundation,40-38-82,208465001,NFP,BROOKLYN,NY
96,"HETL Association, Inc.",43-82-58,453307445,NFP,JAMAICA,NY
97,High Atlas Foundation,40-50-84,850478294,NFP,NEW YORK,NY
98,"HOMEVILLE MUSEUM, INC.",40-25-93,204130195,NFP,HOMER,NY
99,I Am A Leader Foundation,44-55-63,454625508,NFP,PROVO,UT
100,"I Love Math, Inc.",41-29-81,262609655,NFP,BRONX,NY
101,"INTERNATIONAL ORGANIZATION FOR ADOLESCENTS, INC.",20-98-81,134093883,NFP,CHICAGO,IL
102,ISAIAH J. JONES MEMORIAL FOUNDATION,20-36-56,760736140,NFP,BRONX,NY
103,"Jean Bertrand Foundation For The Disadvantaged, Inc.",42-80-65,800735536,NFP,BROOKLYN,NY
104,JOSEPH LANDAU FREE AID FUND INC,03-55-60,112708982,NFP,WOODMERE,NY
